Idx;AddrHex;AddrDec;He;x;Byte_1;Byte_2;UInt16;Int16   Chr;Bin;;;;Beschreibung;Kurzname ;Einheit ;Umrechungsfaktor;1 Prüfung  ;Datum ;2 Prüfung ;Datum 
698;0x02bb;699;2;8;2;8;520;520;0;10;0;1000;;;;;;;;
699;0x02bc;700;0;28;0;40;40;40;0;0;10;1000;;;;;;;;
700;0x02bd;701;0;0;0;0;0;0;0;0;0;0;;;;;;;;
701;0x02be;702;0;0;0;0;0;0;0;0;0;0;;;;;;;;
702;0x02bf;703;0;3;0;3;3;3;0;0;0;11;;;;;;;;
703;0x02c0;704;0;0A;0;10;10;10;0;0;0;1010;;;;;;;;
704;0x02c1;705;0;82;0;130;130;130;0;0;1000;10;;;;;;;;
705;0x02c2;706;0;1E;0;30;30;30;0;0;1;1110;;;;;;;;
706;0x02c3;707;0;0;0;0;0;0;0;0;0;0;;;;;;;;
707;0x02c4;708;0;2;0;2;2;2;0;0;0;10;;;;;;;;
708;0x02c5;709;27;0F;39;15;9999;9999;10;111;0;1111;;;;;;;;
709;0x02c6;710;0;0;0;0;0;0;0;0;0;0;;;;;;;;
710;0x02c7;711;0;0F;0;15;15;15;0;0;0;1111;;;;;;;;
748;0x02ed;749;0;0;0;0;0;0;0;0;0;0;;;;;;;;
798;0x031f;799;0;0;0;0;0;0;0;0;0;0;;;;;;;;
799;0x0320;800;3;E7;3;231;999;999;0;11;1110;111;;;;;;;;
800;0x0321;801;0;F0;0;240;240;240;0;0;1111;0;;;;;;;;
801;0x0322;802;0;1E;0;30;30;30;0;0;1;1110;;;;;;;;
802;0x0323;803;0;0;0;0;0;0;0;0;0;0;;;;;;;;
803;0x0324;804;0;1E;0;30;30;30;0;0;1;1110;;;;;;;;
804;0x0325;805;7;8;7;8;1800;1800;0;111;0;1000;;;;;;;;
805;0x0326;806;0;3;0;3;3;3;0;0;0;11;;;;;;;;
848;0x0351;849;0;0;0;0;0;0;0;0;0;0;;;;;;;;
849;0x0352;850;0;0;0;0;0;0;0;0;0;0;;;;;;;;
850;0x0353;851;0;1;0;1;1;1;0;0;0;1;;;;;;;;
851;0x0354;852;0;0;0;0;0;0;0;0;0;0;;;;;;;;
898;0x0383;899;0;0;0;0;0;0;0;0;0;0;;;;;;;;
899;0x0384;900;0;0;0;0;0;0;0;0;0;0;;;;;;;;
900;0x0385;901;0;0;0;0;0;0;0;0;0;0;;;;;;;;
901;0x0386;902;0;0;0;0;0;0;0;0;0;0;;;;;;;;
902;0x0387;903;0;0;0;0;0;0;0;0;0;0;;;;;;;;
903;0x0388;904;0;0;0;0;0;0;0;0;0;0;;;;;;;;
904;0x0389;905;0;0;0;0;0;0;0;0;0;0;;;;;;;;
905;0x038a;906;0;0;0;0;0;0;0;0;0;0;;;;;;;;
906;0x038b;907;0;0;0;0;0;0;0;0;0;0;;;;;;;;
907;0x038c;908;0;0;0;0;0;0;0;0;0;0;;;;;;;;
920;0x0399;921;0;0;0;0;0;0;0;0;0;0;;;;;;;;
921;0x039a;922;0;0;0;0;0;0;0;0;0;0;;;;;;;;
922;0x039b;923;0;0;0;0;0;0;0;0;0;0;;;;;;;;
923;0x039c;924;0;0;0;0;0;0;0;0;0;0;;;;;;;;
924;0x039d;925;0;0;0;0;0;0;0;0;0;0;;;;;;;;
925;0x039e;926;0;0;0;0;0;0;0;0;0;0;;;;;;;;
926;0x039f;927;0;0;0;0;0;0;0;0;0;0;;;;;;;;
927;0x03a0;928;0;0;0;0;0;0;0;0;0;0;;;;;;;;
928;0x03a1;929;0;0;0;0;0;0;0;0;0;0;;;;;;;;
929;0x03a2;930;0;0;0;0;0;0;0;0;0;0;;;;;;;;
930;0x03a3;931;0;0;0;0;0;0;0;0;0;0;;;;;;;;
931;0x03a4;932;0;0;0;0;0;0;0;0;0;0;;;;;;;;
932;0x03a5;933;0;0;0;0;0;0;0;0;0;0;;;;;;;;
933;0x03a6;934;0;0;0;0;0;0;0;0;0;0;;;;;;;;
934;0x03a7;935;0;0;0;0;0;0;0;0;0;0;;;;;;;;
935;0x03a8;936;0;0;0;0;0;0;0;0;0;0;;;;;;;;
936;0x03a9;937;0;0;0;0;0;0;0;0;0;0;;;;;;;;
937;0x03aa;938;0;0;0;0;0;0;0;0;0;0;;;;;;;;
938;0x03ab;939;0;0;0;0;0;0;0;0;0;0;;;;;;;;
939;0x03ac;940;0;0;0;0;0;0;0;0;0;0;;;;;;;;
940;0x03ad;941;0;0;0;0;0;0;0;0;0;0;;;;;;;;
941;0x03ae;942;0;0;0;0;0;0;0;0;0;0;;;;;;;;
942;0x03af;943;0;0;0;0;0;0;0;0;0;0;;;;;;;;
943;0x03b0;944;0;0;0;0;0;0;0;0;0;0;;;;;;;;
944;0x03b1;945;0;0;0;0;0;0;0;0;0;0;;;;;;;;
945;0x03b2;946;0;0;0;0;0;0;0;0;0;0;;;;;;;;
947;0x03b4;948;0;0;0;0;0;0;0;0;0;0;;;;;;;;
948;0x03b5;949;0;0;0;0;0;0;0;0;0;0;;;;;;;;
949;0x03b6;950;0;0;0;0;0;0;0;0;0;0;;;;;;;;
950;0x03b7;951;0;0;0;0;0;0;0;0;0;0;;;;;;;;
951;0x03b8;952;0;0;0;0;0;0;0;0;0;0;;;;;;;;
952;0x03b9;953;0;0;0;0;0;0;0;0;0;0;;;;;;;;
953;0x03ba;954;0;0;0;0;0;0;0;0;0;0;;;;;;;;
954;0x03bb;955;0;0;0;0;0;0;0;0;0;0;;;;;;;;
955;0x03bc;956;0;0;0;0;0;0;0;0;0;0;;;;;;;;
956;0x03bd;957;0;0;0;0;0;0;0;0;0;0;;;;;;;;
957;0x03be;958;0;0;0;0;0;0;0;0;0;0;;;;;;;;
958;0x03bf;959;0;0;0;0;0;0;0;0;0;0;;;;;;;;
959;0x03c0;960;0;0;0;0;0;0;0;0;0;0;;;;;;;;
960;0x03c1;961;0;0;0;0;0;0;0;0;0;0;;;;;;;;
963;0x03c4;964;0;0;0;0;0;0;0;0;0;0;;;;;;;;
964;0x03c5;965;1;F4;1;244;500;500;0;1;1111;100;;;;;;;;
965;0x03c6;966;0;0;0;0;0;0;0;0;0;0;;;;;;;;
966;0x03c7;967;0;0;0;0;0;0;0;0;0;0;;;;;;;;
968;0x03c9;969;0;0;0;0;0;0;0;0;0;0;;;;;;;;
969;0x03ca;970;0;0;0;0;0;0;0;0;0;0;;;;;;;;
970;0x03cb;971;0;0;0;0;0;0;0;0;0;0;;;;;;;;
971;0x03cc;972;0;0;0;0;0;0;0;0;0;0;;;;;;;;
972;0x03cd;973;0;0;0;0;0;0;0;0;0;0;;;;;;;;
973;0x03ce;974;0;0;0;0;0;0;0;0;0;0;;;;;;;;
974;0x03cf;975;0;0;0;0;0;0;0;0;0;0;;;;;;;;
975;0x03d0;976;0;0;0;0;0;0;0;0;0;0;;;;;;;;
976;0x03d1;977;0;0;0;0;0;0;0;0;0;0;;;;;;;;
977;0x03d2;978;0;0;0;0;0;0;0;0;0;0;;;;;;;;
978;0x03d3;979;0;0;0;0;0;0;0;0;0;0;;;;;;;;
979;0x03d4;980;0;0;0;0;0;0;0;0;0;0;;;;;;;;
982;0x03d7;983;0;0;0;0;0;0;0;0;0;0;;;;;;;;
983;0x03d8;984;0;0;0;0;0;0;0;0;0;0;;;;;;;;
988;0x03dd;989;0;0;0;0;0;0;0;0;0;0;;;;;;;;
989;0x03de;990;0;0;0;0;0;0;0;0;0;0;;;;;;;;
990;0x03df;991;0;0;0;0;0;0;0;0;0;0;;;;;;;;
991;0x03e0;992;0;0;0;0;0;0;0;0;0;0;;;;;;;;
992;0x03e1;993;0;0;0;0;0;0;0;0;0;0;;;;;;;;
993;0x03e2;994;0;0;0;0;0;0;0;0;0;0;;;;;;;;
998;0x03e7;999;31;8;49;8;12552;12552;11;1;0;1000;;;;;;;;
1008;0x03f1;1009;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1009;0x03f2;1010;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1012;0x03f5;1013;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1013;0x03f6;1014;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1014;0x03f7;1015;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1015;0x03f8;1016;0;28;0;40;40;40;0;0;10;1000;;;;;;;;
1016;0x03f9;1017;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1017;0x03fa;1018;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1098;0x044b;1099;0;1;0;1;1;1;0;0;0;1;;;;;;;;
1099;0x044c;1100;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1100;0x044d;1101;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1101;0x044e;1102;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1103;0x0450;1104;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1148;0x047d;1149;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1198;0x04af;1199;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1199;0x04b0;1200;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1200;0x04b1;1201;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1201;0x04b2;1202;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1202;0x04b3;1203;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1203;0x04b4;1204;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1248;0x04e1;1249;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1249;0x04e2;1250;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1250;0x04e3;1251;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1298;0x0513;1299;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1299;0x0514;1300;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1300;0x0515;1301;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1301;0x0516;1302;0;3;0;3;3;3;0;0;0;11;;;;;;;;
1302;0x0517;1303;0;3;0;3;3;3;0;0;0;11;;;;;;;;
1303;0x0518;1304;0;3;0;3;3;3;0;0;0;11;;;;;;;;
1398;0x0577;1399;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1399;0x0578;1400;1;5E;1;94;350;350;0;1;101;1110;;;;;;;;
1400;0x0579;1401;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1401;0x057a;1402;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1402;0x057b;1403;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1403;0x057c;1404;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1404;0x057d;1405;15;18;21;24;5400;5400;1;101;1;1000;;;;;;;;
1405;0x057e;1406;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1406;0x057f;1407;4;B0;4;176;1200;1200;0;100;1011;0;;;;;;;;
1407;0x0580;1408;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1408;0x0581;1409;0;28;0;40;40;40;0;0;10;1000;;;;;;;;
1409;0x0582;1410;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1410;0x0583;1411;5;DC;5;220;1500;1500;0;101;1101;1100;;;;;;;;
1411;0x0584;1412;0;1;0;1;1;1;0;0;0;1;;;;;;;;
1998;0x07cf;1999;0;1;0;1;1;1;0;0;0;1;;;;;;;;
1999;0x07d0;2000;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2000;0x07d1;2001;1;0;1;0;256;256;0;1;0;0;;;;;;;;
2001;0x07d2;2002;3;B6;3;182;950;950;0;11;1011;110;;;;;;;;
2002;0x07d3;2003;1;41;1;65;321;321;0;1;100;1;;;;;;;;
2003;0x07d4;2004;1;61;1;97;353;353;0;1;110;1;EQ ein;EQin;;;???                 °C =;;;
2004;0x07d5;2005;0;0;0;0;0;0;0;0;0;0;EQ aus;EQou;;;???                     °C =;;;
2005;0x07d6;2006;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2048;0x0801;2049;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2049;0x0802;2050;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2050;0x0803;2051;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2051;0x0804;2052;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2052;0x0805;2053;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2053;0x0806;2054;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2054;0x0807;2055;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2055;0x0808;2056;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2056;0x0809;2057;0;1;0;1;1;1;0;0;0;1;;;;;;;;
2998;0x0bb7;2999;0;0;0;0;0;0;0;0;0;0;;;;;;;;
2999;0x0bb8;3000;0;1;0;1;1;1;0;0;0;1;;;;;;;;
3000;0x0bb9;3001;0;18;0;24;24;24;0;0;1;1000;;;;;;;;
